year,lhd_name,lhd_area_type,county_name,expenditures,population,per_capita_spending
2006,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","4,834,996.32","51,232.00",94.37
2007,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","5,096,082.06","51,407.00",99.13
2008,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","4,923,941.18","51,400.00",95.80
2009,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","5,151,725.26","51,320.00",100.38
2010,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","5,493,127.31","51,194.00",107.30
2011,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","5,400,497.06","51,085.00",105.72
2012,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","5,504,317.41","51,033.00",107.86
2013,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","5,840,264.61","51,071.00",114.36
2014,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","5,342,117.34","51,017.00",104.71
2015,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","5,224,538.55","50,883.00",102.68
2016,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","4,583,246.17","51,095.00",89.70
2017,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","4,420,352.51","51,426.00",85.96
2018,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","4,248,446.01","51,903.00",81.85
2019,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","3,669,448.94","51,884.00",70.72
2020,Toe River Health District,Multi-County,"Avery, Mitchell and Yancey","4,019,861.74","52,087.00",77.18
2002,Union County Health Department,Single,Union,"5,074,971.00","138,896.00",36.54
2003,Union County Health Department,Single,Union,"5,354,146.00","144,139.00",37.15
2004,Union County Health Department,Single,Union,"5,420,127.00","151,102.00",35.87
2005,Union County Health Department,Single,Union,"5,689,220.00","160,260.00",35.50
2006,Union County Health Department,Single,Union,"6,328,108.00","171,307.00",36.94
2007,Union County Health Department,Single,Union,"7,336,064.00","183,036.00",40.08
2008,Union County Health Department,Single,Union,"7,886,519.00","192,305.00",41.01
2009,Union County Health Department,Single,Union,"8,002,664.00","197,373.00",40.55
2010,Union County Health Department,Single,Union,"8,187,069.00","201,292.00",40.67
2011,Union County Health Department,Single,Union,"8,351,741.00","204,332.00",40.87
2012,Union County Health Department,Single,Union,"8,424,560.00","207,438.00",40.61
2013,Union County Health Department,Single,Union,"8,539,057.00","210,937.00",40.48
2014,Union County Health Department,Single,Union,"7,686,944.00","215,312.00",35.70
2015,Union County Health Department,Single,Union,"6,924,822.00","219,243.00",31.59
2016,Union County Health Department,Single,Union,"7,274,437.00","223,663.00",32.52
2017,Union County Health Department,Single,Union,"7,250,953.00","228,061.00",31.79
2018,Union County Health Department,Single,Union,"7,652,358.00","232,465.00",32.92
2019,Union County Health Department,Single,Union,"8,834,259.00","237,287.00",37.23
1999,Lee County Health Department,Single,Lee,"1,837,865.00","48,926.00",37.56
2000,Lee County Health Department,Single,Lee,"2,024,757.00","49,170.00",41.18
2001,Lee County Health Department,Single,Lee,"2,561,500.00","50,277.00",50.95
2002,Lee County Health Department,Single,Lee,"2,294,034.00","50,782.00",45.17
2003,Lee County Health Department,Single,Lee,"2,319,318.00","51,420.00",45.11
2004,Lee County Health Department,Single,Lee,"2,655,771.27","52,460.00",50.62
2005,Lee County Health Department,Single,Lee,"2,846,061.53","53,320.00",53.38
2006,Lee County Health Department,Single,Lee,"2,873,287.00","54,390.00",52.83
2007,Lee County Health Department,Single,Lee,"3,416,298.00","55,334.00",61.74
2008,Lee County Health Department,Single,Lee,"3,138,364.00","56,505.00",55.54
2009,Lee County Health Department,Single,Lee,"3,042,637.00","57,297.00",53.10
2010,Lee County Health Department,Single,Lee,"2,730,273.00","57,866.00",47.18
2011,Lee County Health Department,Single,Lee,"2,538,417.00","58,294.00",43.55
2012,Lee County Health Department,Single,Lee,"2,635,486.00","58,820.00",44.81
2013,Lee County Health Department,Single,Lee,"2,883,198.00","59,028.00",48.84
2014,Lee County Health Department,Single,Lee,"2,707,876.00","58,930.00",45.95
2015,Lee County Health Department,Single,Lee,"2,785,050.00","58,711.00",47.44
2016,Lee County Health Department,Single,Lee,"3,028,487.00","59,181.00",51.17
2017,Lee County Health Department,Single,Lee,"3,020,591.00","59,810.00",50.50
2018,Lee County Health Department,Single,Lee,"3,076,395.00","60,878.00",50.53
2019,Lee County Health Department,Single,Lee,"3,161,580.88","61,690.00",51.25
2020,Lee County Health Department,Single,Lee,"2,855,191.40","62,429.00",45.74
2008,Burke County Health Department,Single,Burke,"4,247,320.00","89,984.00",47.20
2009,Burke County Health Department,Single,Burke,"4,054,646.00","90,521.00",44.79
2010,Burke County Health Department,Single,Burke,"3,551,815.00","90,912.00",39.07
2011,Burke County Health Department,Single,Burke,"3,343,688.00","90,203.00",37.07
2012,Burke County Health Department,Single,Burke,"3,094,637.00","89,619.00",34.53
2013,Burke County Health Department,Single,Burke,"2,958,593.00","89,151.00",33.19
2014,Burke County Health Department,Single,Burke,"2,964,915.00","89,151.00",33.26
2015,Burke County Health Department,Single,Burke,"3,028,424.00","89,321.00",33.90
2016,Burke County Health Department,Single,Burke,"2,958,051.00","90,123.00",32.82
2017,Burke County Health Department,Single,Burke,"2,961,867.00","91,402.00",32.40
2018,Burke County Health Department,Single,Burke,"3,099,064.00","91,810.00",33.76
2019,Burke County Health Department,Single,Burke,"3,212,055.00","91,934.00",34.94
2005,Moore County Health Department,Single,Moore,"4,041,286.00","80,388.00",50.27
2006,Moore County Health Department,Single,Moore,"4,272,969.00","82,347.00",51.89
2007,Moore County Health Department,Single,Moore,"4,512,321.00","84,393.00",53.47
2008,Moore County Health Department,Single,Moore,"4,739,038.00","85,954.00",55.13
2009,Moore County Health Department,Single,Moore,"5,188,070.00","97,227.00",53.36
2010,Moore County Health Department,Single,Moore,"5,023,285.00","88,247.00",56.92
2011,Moore County Health Department,Single,Moore,"4,516,788.00","89,291.00",50.59
2012,Moore County Health Department,Single,Moore,"4,486,158.00","90,560.00",49.54
2013,Moore County Health Department,Single,Moore,"4,004,598.00","91,721.00",43.66
2014,Moore County Health Department,Single,Moore,"3,570,719.00","92,903.00",38.43
2015,Moore County Health Department,Single,Moore,"3,610,009.00","94,159.00",38.34
2016,Moore County Health Department,Single,Moore,"3,658,433.00","95,812.00",38.18
2017,Moore County Health Department,Single,Moore,"3,348,163.00","97,625.00",34.30
2018,Moore County Health Department,Single,Moore,"3,539,264.00","99,390.00",35.61
2019,Moore County Health Department,Single,Moore,"3,821,816.00","101,180.00",37.77
1999,Stanly County Health Department,Single,Stanly,"1,871,126.00","57,153.00",32.74
2000,Stanly County Health Department,Single,Stanly,"1,275,845.00","58,100.00",21.96
2001,Stanly County Health Department,Single,Stanly,"1,257,349.00","58,720.00",21.41
2002,Stanly County Health Department,Single,Stanly,"1,274,819.00","58,838.00",21.67
2003,Stanly County Health Department,Single,Stanly,"1,390,450.00","58,739.00",23.67
2004,Stanly County Health Department,Single,Stanly,"1,611,841.00","58,640.00",27.49
2005,Stanly County Health Department,Single,Stanly,"1,702,046.00","58,588.00",29.05
2006,Stanly County Health Department,Single,Stanly,"1,806,362.00","58,791.00",30.73
2007,Stanly County Health Department,Single,Stanly,"1,909,434.00","59,203.00",32.25
2008,Stanly County Health Department,Single,Stanly,"2,074,068.00","59,906.00",34.62
2009,Stanly County Health Department,Single,Stanly,"2,171,709.05","60,205.00",36.07
2010,Stanly County Health Department,Single,Stanly,"2,191,594.15","60,585.00",36.17
2011,Stanly County Health Department,Single,Stanly,"2,316,979.36","60,605.00",38.23
2012,Stanly County Health Department,Single,Stanly,"2,396,147.06","60,363.00",39.70
2013,Stanly County Health Department,Single,Stanly,"2,373,878.93","60,586.00",39.18
2014,Stanly County Health Department,Single,Stanly,"2,372,101.01","61,026.00",38.87
2015,Stanly County Health Department,Single,Stanly,"2,475,795.02","61,212.00",40.45
2016,Stanly County Health Department,Single,Stanly,"2,467,129.67","61,696.00",39.99
2017,Stanly County Health Department,Single,Stanly,"2,492,321.70","62,736.00",39.73
2018,Stanly County Health Department,Single,Stanly,"2,593,025.86","63,328.00",40.95
2019,Stanly County Health Department,Single,Stanly,"2,710,590.81","63,727.00",42.53
2020,Stanly County Health Department,Single,Stanly,"2,886,105.00","64,236.00",44.93
2018,Surry County Health Department,Single,Surry ,"13,434,038.00","73,232.00",183.44
2019,Surry County Health Department,Single,Surry ,"13,887,427.00","73,232.00",189.64
2020,Surry County Health Department,Single,Surry ,"14,695,867.00","73,231.00",200.68
2018,Wilkes County Health Department,Single,Wilkes,"5,791,841.07","69,913.00",82.84
2019,Wilkes County Health Department,Single,Wilkes,"6,231,349.85","70,200.00",88.77
2020,Wilkes County Health Department,Single,Wilkes,"6,340,371.95","70,490.00",89.95
1999,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","7,387,676.00","43,421.00",170.14
2000,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","5,897,575.00","43,418.00",135.83
2001,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","5,862,105.00","43,090.00",136.04
2002,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","5,951,460.00","42,891.00",138.76
2003,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","7,074,978.00","42,733.00",165.56
2004,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","7,541,548.00","42,480.00",177.53
2005,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","8,253,957.00","42,312.00",195.07
2006,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","7,890,618.00","42,300.00",186.54
2007,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","7,253,528.00","42,084.00",172.36
2008,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","6,887,891.00","42,234.00",163.09
2009,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","7,315,583.00","42,161.00",173.52
2010,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","7,828,145.00","42,140.00",185.77
2011,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","7,855,919.00","41,478.00",189.40
2012,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","7,590,651.00","40,708.00",186.47
2013,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","7,543,462.00","40,520.00",186.17
2014,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","7,437,421.00","40,323.00",184.45
2015,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","6,301,365.00","40,290.00",156.40
2016,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","5,916,762.00","39,970.00",148.03
2017,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","5,999,164.00","39,926.00",150.26
2018,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","6,028,625.00","39,677.00",151.94
2019,Martin-Tyrrell-Washington District Health,Multi-County,"Martin, Tyrrell & Washington","6,560,934.00","39,480.00",166.18
2009,Wake County Health Department,Single,Wake,"76,972,076.00","882,344.00",87.24
2010,Wake County Health Department,Single,Wake,"79,391,383.00","900,993.00",88.12
2011,Wake County Health Department,Single,Wake,"79,490,552.00","924,330.00",86.00
2012,Wake County Health Department,Single,Wake,"74,369,935.00","944,622.00",78.73
2013,Wake County Health Department,Single,Wake,"39,852,467.00","963,856.00",41.35
2014,Wake County Health Department,Single,Wake,"38,099,704.00","983,918.00",38.72
2015,Wake County Health Department,Single,Wake,"40,516,034.00","1,006,139.00",40.27
2016,Wake County Health Department,Single,Wake,"42,869,438.00","1,028,509.00",41.68
2017,Wake County Health Department,Single,Wake,"43,397,601.00","1,049,943.00",41.33
2018,Wake County Health Department,Single,Wake,"46,664,534.00","1,070,197.00",43.60
2019,Wake County Health Department,Single,Wake,"50,374,341.00","1,089,579.00",46.23
